"","category","key","sentences"
"92","4","전자","LG 전자 미래의 스마트홈 어떤 공간이 될까"
"93","4","전자","이번 IFA 2017 ? LG 전자 ' 스마트홈 ' 부스에서 공개한"
"94","4","전자","걸까요 ? IFA 2017 LG 전자 스마트홈 부스에서 스마트홈의 현주소 및"
"95","4","전자","로봇청소기 건조기 공기청정기 등의 LG 전자 가전과 연결되어 기능을 사용하거나 필요한"
"96","4","전자","역할은 집 안에 있는 LG 전자 가전제품들을 연결해주는 허브라고 할 수"
"97","4","전자","있음 ? 스마트씽큐를 정리해보자면 LG 전자 가전기기를 보유하고 있는 고객들 중"
"98","4","전자","2.0 과 호환 가능한 LG 전자 가전 제품으로는 세탁기 냉장고 에어컨"
"99","4","전자","를 이미 쓰고 있지만 LG 전자 스마트씽큐도 쓰기 시작했다 설명서에 보면설치하는"
"100","4","전자","IFA 2017 에서 LG 전자 차별화된 스마트홈 경험 제시하다 ."
"101","4","전자","열리는 유럽 최대의 가전 / 전자 박람회인 IFA 2017 은 전세계"
"102","4","전자","기업 중에는 삼성전자를 비롯해 LG 전자 등이 IFA 2017 에 전시"
"103","4","전자","? 약 1149 평의 LG 전자 입구에는 55 인치형 곡면 올레드"
"104","4","전자","전자의 전략 제품들을 IFA LG 전자 전시부스에 총출동 시켜 모바일부터 가전까지"
"105","4","전자","잔디깍이 로봇을 선보였습니다 . LG 전자 잔디깍이 로봇은 아마존 알렉사 구글"
"106","4","전자","알렉사 . 스마트홈과 연동 LG 전자 / ? GE / 월풀"
"107","4","전자","및 스마트카를 구현한 업체는 LG 전자 Ford Whirlpool 등 . 국내"
"108","4","전자","전자가 주도하는 스마트홈 시장 LG 전자 ' 딥씽큐 ( Deep ThinQ"
"109","4","전자","후 AI 개발 강화 LG 전자 인공지능 전략 : 글로벌 AI"
"110","4","전자","■ 확인사항씽큐허브는 날씨 정보와 LG 전자 가전연동 및 네이버 클로바 서비스"
"111","4","전자","지시에 따라 설정하세요 . LG 전자 홈페이지 ( 뷰티 / 액세서리"
"112","4","전자","! 나랑 놀아줘 ~ LG 전자 인공지능 스피커로 펀펀한 나의 하루"
"113","4","전자","잠시의 휴식시간에 요즘 베스언니는 LG 전자 인공지능 스피커 스마트씽큐 허브와 소근소근"
"114","4","전자","기능과 더불어 가정에 연결된 다른 전자 가구 작동에도 활용할 수 있습니다"
"115","4","전자","확대할 예정입니다 . ? 삼성 전자 또한 카카오와 제휴 계약을 체결하여"
"116","4","전자","번호까지 확인해 준다고 하니 스마트한 전자 비서 노릇을 톡톡히 할 수"
"117","4","전자","2.0 ? 모델은 ? LG 전자 ? 가전제품들을 ? 연결할 ?"
"118","4","전자","? 있습니다 . ? LG 전자 ? AI ? 스피커로 ?"
"119","4","전자","을 의미합니다 . - LG 전자 공식 블로그 최근 LG 전자의"
"120","4","전자","딥씽큐 ' 를 탑재한 LG 전자 제품 이름에도 ' 씽큐 '"
"121","4","전자","등 ) 을 탑재한 LG 전자 제품 이름에도 ' 씽큐 '"
"122","4","전자","가 붙습니다 . - LG 전자 공식 블로그음성 인식 기술이 발전하면서"
"123","4","전자","? 생활가전에 선두주자인 LG 전자가 전자 가전 간의 연결과 제어 그리고"
"124","4","전자","기술을 총칭합니다 . - LG 전자 김락용 연구원 인터뷰 中 이는"
"125","4","전자",": ) 엘지 ' LG 전자 ' 역시 스마트홈 시장을 노리고"
"126","4","전자","스피커들 - ( 개인적으로 LG 전자 씽큐허브 디자인은 보온병 같아서 마음에"
"127","4","전자",". #4 . 삼성전자 LG 전자 국내 기업들도 스마트홈 경쟁에 뛰어들고"
"128","4","전자","전략의 일환으로 보인다 . LG 전자 역시 스마트홈 시장을 공격적으로 노리고"
"129","4","전자",". #4 . 삼성전자 LG 전자 국내 기업들도 스마트홈 경쟁에 뛰어들고"
"130","4","전자","전략의 일환으로 보인다 . LG 전자 역시 스마트홈 시장을 공격적으로 노리고"
"131","4","전자","손쉽고 편하게 음악도 듣고 LG 전자 가전제품 사용도 하고 꿀템이라며 ♪"
"132","4","전자","순간에 더 빛이 나는 LG 전자 인공지능 스피커 이젠 우리 생활에"
"133","4","전자","# 가전사 1 . LG 전자 - LG 전자 스마트홈 서비스"
"134","4","전자",". LG 전자 - LG 전자 스마트홈 서비스 ' 스마트씽큐 '"
"135","4","전자","예정입니다 [ 출처 : LG 전자 ]"
"136","4","전자","있다 . 이미지 크게보기 LG 전자 제공 ◇ 생활 속 인공지능"
"137","4","전자","전자는 최근 강남구 청담동의 LG 전자 베스트샵 강남본점에 자사의 인공지능 시스템인"
"138","4","전자","를 두는 셈이란 게 LG 전자 측의 설명이다 . ◇ 가전제품"
"139","4","전자","체험해볼 수 있는 공간은 LG 전자 베스트샵 강남본점 외에도 강남구 논현동"
"140","4","전자","층 서초구 양재동 ' LG 전자 서초 R & D 캠퍼스"
"141","4","전자","' 등이 있다 . LG 전자 관계자는 ' 향후 고객이 인공지능"
"142","4","기술","미국은 우리나라에 비해 더 빠른 기술 발전과 상용화를 이뤘다 . ?"
"143","4","기술","? 하지요 . IoT ? 기술 덕분에 엄마는 오늘도 아이만 두고"
"144","4","기술","예정 KT 5G 에서의 AI 기술 표준화 나서 KT 는 국제전기통신연합"
"145","4","기술","우리에겐 친숙한 그것 ! 음성인식 기술 인공지능 ( AI ) 스피커는"
"146","4","기술","때로는 친구로 영화 속의 음성인식 기술 액션 영화를 좋아하는 분들이라면 음성인식"
"147","4","기술","^ ^ ? ? 음성인식 기술 인공지능 스피커 탄생의 발판이 되다"
"148","4","기술","포털기업들의 인공지능 ( AI ) 기술 고도화 대결이 치열하기 벌어지고 있는"
"149","4","기술","' 타이젠 ' 이다 . 기술 소식에 익숙한 독자라면 최근 타이젠"
"150","4","기술","상태를 실시간 반영해 자율주행을 돕는 기술 인공지능 스피커 NUGU 의 경량화"
"151","4","기술","실행 및 제어 . 네이버크로바 기술 적용 . 터치 디스플레이 탑재"
"152","4","기술","전자는 독자 개발한 딥 러닝 기술 ' 딥씽큐 ' 를 탑재한"
"153","4","기술","다른 기업들이 사용하고 있는 AI 기술 ( 구글 어시스턴트 아마존 알렉사"
"154","4","기술","▣ 인공지능 ( AI ) 기술 스마트 시대의 중심 집 내부에서는"
"155","4","기술","S8 ? : 자사 인공지능 기술 빅스비 ( Bixby ) 탑재"
"156","4","기술","? MS ' 코타나 ' 기술 기반으로 하만카돈의 스피커를 선보일 예정"
"157","4","기술","아마존에서 개발한 AI 기반 음성인식 기술 Alexa 는 음성인식과 인공지능을 지원하는"
"158","4","기술","서버에서 최적화된 답을 찾아주는 인공지능 기술 사용자가 고급영어로 말하지 않더라도 영어발음"
"159","4","기술","개발 플랫폼으로 핵심은 5G 통신 기술 . BMW 자율주행 플랫폼 iNext"
"160","4","기술","/ 디스플레이 밸류체인 기업 자율주행 기술 상용화 지원 기술 보유 nVidia"
"161","4","기술","기업 자율주행 기술 상용화 지원 기술 보유 nVidia : 그래픽 처리"
"162","4","기술","인공지능 구현 . 자율주행의 필수 기술 Qualcomm : 커넥티드카 구현에 적합한"
"163","4","기술","이해능력 등을 컴퓨터 프로그램으로 실현한 기술 . 인공지능이란 한마디로 말해 인간의"
"164","4","기술","가 붙고 다른 기업들의 AI 기술 ( 구글 어시스턴트 아마존 알렉사"
"165","4","플랫폼",". 바로 네이버가 선보인 AI 플랫폼 ' 클로바 ' 의 씽큐"
"166","4","플랫폼","허브는 지난 해 네이버의 인공지능 플랫폼 클로바와 연동이 되면서 더더욱 활용의"
"167","4","플랫폼","더불어 높은 생활 편의성을 제공하는 플랫폼 서비스를 확대 ~ 이용할 수"
"168","4","플랫폼","? 검색 등의 네이버 인공지능 플랫폼 ' 클로바 ' 가 ?"
"169","4","플랫폼","씽큐 허브가 이번에 네이버의 인공지능 플랫폼 클로바와 콜라보를 이룬 업데이트를 실시했습니다"
"170","4","플랫폼",". 네이버의 AI 음식인식 비서 플랫폼 ' 클로바 ' 는 LG"
"171","4","플랫폼","포괄적이다 . 카카오가 개발한 AI 플랫폼 ' 카카오 i ' 와"
"172","4","플랫폼","i ' 와 삼성전자의 AI 플랫폼 ' 빅스비 ' 가 서로"
"173","4","플랫폼","광고를 공략하는 새로운 인공지능 광고 플랫폼 베타서비스에 들어갔다 . 네이버가 내놓은"
"174","4","플랫폼","쇼핑 검색으로 이뤄진 ' 비즈니스 플랫폼 ' 부문은 네이버 전체 매출에서"
"175","4","플랫폼","가능한 것은 바로 네이버의 인공지능 플랫폼 Clova 와 함께 하기 때문입니다"
"176","4","플랫폼","네이버가 지난해 5 월 AI 플랫폼 클로바를 출시하면서 AI 시장에 출사표를"
"177","4","플랫폼","오픈 플랫폼 ' ' 오픈 파트너십 '"
"178","4","플랫폼","파트너십 ' 전략 기반 AI 플랫폼 확대 LG 전자 생활가전이 음성인식"
"179","4","플랫폼",". LG 전자는 ' 오픈 플랫폼 ( Open Platform ) '"
"180","4","플랫폼","오픈 플랫폼 ' ' 오픈 파트너십 '"
"181","4","플랫폼","파트너십 ' 전략 기반 AI 플랫폼 확대 LG 전자 생활가전이 음성인식"
"182","4","플랫폼",". LG 전자는 ' 오픈 플랫폼 ( Open Platform ) '"
"183","4","플랫폼","오픈 플랫폼 ' ' 오픈 파트너십 '"
"184","4","플랫폼","파트너십 ' 전략 기반 AI 플랫폼 확대 LG 전자 생활가전이 음성인식"
"185","4","플랫폼",". LG 전자는 ' 오픈 플랫폼 ( Open Platform ) '"
"186","4","플랫폼","' 인공지능 스피커가 네이버의 인공지능 플랫폼 ' 클로바 ' 를 탑재하였다고"
"187","4","플랫폼","신청을 받음 LG 네이버 AI 플랫폼 탑재된 AI 스피커 출시 LG"
"188","4","플랫폼","출시 LG 전자는 네이버의 AI 플랫폼 ' 클로바 ' 를 탑재한"
"189","4","플랫폼","가전과 인공지능 가전을 활용한 스마트홈 플랫폼 등 ' 제 4 차"
"190","4","플랫폼",": ? 국내 통신사 협력의 플랫폼 개발 전문 기업 아이콘트롤스 :"
"191","4","플랫폼",": ? 국내 통신사 협력의 플랫폼 개발 전문 기업 5G 도"
