,Unnamed: 0,brand,category,words,emotion,sim
365,2938,0,1,날씨 ,999,0.539967954158783
366,3410,0,7,연습 ,999,0.5397986173629761
367,886,0,8,뉴스 ,999,0.5396274328231812
368,3317,0,7,라디오 ,999,0.5396274328231812
369,3286,0,7,저녁 ,999,0.5393869876861572
370,2592,0,0,연출 ,999,0.5392576456069946
371,2811,0,1,멤버십 ,999,0.538906455039978
372,3998,0,2,빗소리 ,999,0.5387951135635376
373,2058,0,0,모양 ,999,0.5377890467643738
374,1582,0,5,팟 ,999,0.5375142693519592
375,3597,0,7,알렉사 ,999,0.5364280939102173
376,2371,0,0,로바 ,999,0.5364189147949219
377,3124,0,6,무제 ,999,0.5360231399536133
378,256,0,4,이야기 ,999,0.5360122323036194
379,663,0,8,대답 ,999,0.5360122323036194
380,1330,0,5,공유기 ,999,0.5354313850402832
381,3905,0,7,대답 ,999,0.5354195833206177
382,1548,0,5,찬스 ,999,0.5334370732307434
383,2499,0,0,미니 ,999,0.5330507755279541
384,4256,0,3,보증서 ,999,0.5305792093276978
385,2148,0,0,개봉 ,999,0.5299503803253174
386,286,0,4,소거 ,999,0.5298234224319458
387,1143,0,5,전원 ,999,0.5289467573165894
388,2565,0,0,무지개 ,999,0.5288504958152771
389,4284,0,3,설명서 ,999,0.528752863407135
390,2059,0,0,느낌 ,999,0.5286610722541809
391,1144,0,5,플 ,999,0.5283073782920837
392,2060,0,0,외형 ,999,0.5281793475151062
393,2566,0,0,선라이즈 ,999,0.5279587507247925
394,3350,0,7,기상 ,999,0.5275623798370361
395,2372,0,0,셀리 ,999,0.5275028944015503
396,2812,0,1,프로모션 ,999,0.526600182056427
397,915,0,8,업데이트 ,999,0.5265196561813354
398,1041,0,8,모닝콜 ,999,0.5265098810195923
399,1615,0,5,온도 ,999,0.5249218940734863
400,1331,0,5,파이 ,999,0.5248005390167236
401,2626,0,0,육아 ,999,0.5243451595306396
402,2975,0,6,신곡 ,999,0.5242825746536255
403,2656,0,0,컬러 ,999,0.5238701105117798
404,1520,0,5,셋 ,999,0.5236522555351257
405,2939,0,1,뉴스 ,999,0.5232115983963013
406,2722,0,1,득템 ,999,0.5230185985565186
407,4061,0,2,고음질 ,999,0.5226070284843445
408,887,0,8,청취 ,999,0.5223904252052307
409,1487,0,5,도미노피자 ,999,0.522204577922821
410,888,0,8,날씨 ,999,0.5211077928543091
411,192,0,4,예시 ,999,0.5210011601448059
412,2786,0,1,출시 ,999,0.520600438117981
413,1203,0,5,단자 ,999,0.5197813510894775
414,2088,0,0,페어링 ,999,0.5186161994934082
415,3752,0,7,한영사전 ,999,0.5182196497917175
416,826,0,8,아이 ,999,0.518169641494751
417,916,0,8,진화 ,999,0.5176817178726196
418,1584,0,5,알렉사 ,999,0.5166171789169312
419,3843,0,7,아시안 ,999,0.5156373381614685
420,4257,0,3,선 ,999,0.5152469277381897
421,1549,0,5,폴 ,999,0.5151605606079102
422,2813,0,1,이벤트 ,999,0.5151227116584778
423,3628,0,7,체크 ,999,0.5150905847549438
424,1832,0,5,장보기 ,999,0.5143052339553833
425,97,0,4,개발 ,999,0.514022946357727
426,3936,0,7,시 ,999,0.5136319398880005
427,1488,0,5,피자 ,999,0.513627290725708
428,2628,0,0,오로라 ,999,0.5134686827659607
429,4031,0,2,성능 ,999,0.5134013891220093
430,3687,0,7,교통 ,999,0.512345552444458
431,1616,0,5,청소기 ,999,0.5122953653335571
432,4189,0,3,휴대 ,999,0.510636568069458
433,3844,0,7,순위 ,999,0.5105471014976501
434,3032,0,6,메이트 ,999,0.5101847648620605
435,98,0,4,기업 ,999,0.5100044012069702
436,2186,0,0,귀요미 ,999,0.5098670721054077
437,983,0,8,휠 ,999,0.5094976425170898
438,2311,0,0,케이블 ,999,0.5092427134513855
439,4259,0,3,본체 ,999,0.5092427134513855
440,2089,0,0,단자 ,999,0.5090749859809875
441,2976,0,6,자장가 ,999,0.5079132914543152
442,1647,0,5,오전 ,999,0.5070056915283203
443,3937,0,7,예약 ,999,0.5070056915283203
444,4286,0,3,본품 ,999,0.5068890452384949
445,1103,0,8,편의 ,999,0.5067448616027832
446,66,0,4,올레 ,999,0.5064565539360046
447,2061,0,0,고급 ,999,0.506182074546814
448,3718,0,7,드라마 ,999,0.506041407585144
449,1833,0,5,버스 ,999,0.5058554410934448
450,3938,0,7,오후 ,999,0.5046841502189636
451,1236,0,5,연계 ,999,0.5045110583305359
452,36,0,4,지능 ,999,0.5041947960853577
453,3535,0,7,메모 ,999,0.5039691925048828
454,1648,0,5,사전 ,999,0.5039544701576233
455,2567,0,0,아리아 ,999,0.5030962228775024
456,225,0,4,무드 ,999,0.5030962228775024
457,3004,0,6,청취 ,999,0.5027457475662231
458,2437,0,0,패브릭 ,999,0.5024916529655457
459,412,0,4,미니 ,999,0.5023968815803528
